predictor,gini_lower_bound,gini_upper_bound
edad,-0.16107876990978626,-0.08502965920779179
suma_saldo_vencido_open,0.05160689042178187,0.09934791281654702
suma_saldo_actual_open,-0.013402222271319014,0.06741205438270922
razon_monto_apagar_saldo_actual_open,0.0315271183313397,0.11197077492177195
razon_monto_apagar_limite_credito_open,0.18480312064986448,0.26236399717726644
razon_monto_apagar_saldo_vencido_open,-0.15054667988438894,0.07814915831128913
razon_maximo_saldo_maxima_mora_maximo_credito_masalto_open,0.1161980123323268,0.204691764174315
razon_saldo_vencido_saldo_actual_open,0.04871392231571017,0.0968470414177565
suma_ponderada_pagos_12m_open,0.20760752538556812,0.28475875514646537
suma_ponderada_pagos_18m_open,0.22866593377458536,0.30189566412111135
suma_ponderada_pagos_24m_open,0.24189608918069094,0.3168753565863545
r_sumapd_sumcl_open,0.05213264441765561,0.09921232885577996
r_sumcb_sumcl_open,0.17983410768414831,0.2569552571598181
r_sumhhda_sumhc_open,0.11478783391023059,0.20454972188028195
utilizacion_maximo_limite_open,0.09978373857333404,0.17493296365584476
utilizacion_open,0.17983410768414831,0.2569552571598181
max_antiguedad_cuenta_meses_open,-0.20340289283640933,-0.12723621567141377
min_antiguedad_cuenta_meses_open,-0.22345453962603548,-0.14707511441120844
promedio_antiguedad_cuenta_meses_open,-0.2686540367635293,-0.19441482537485058
max_mop_tc_ult_12m_open,0.06701012532078574,0.13449785315948617
max_mop_tc_ult_18m_open,0.06461660537203176,0.13239968056846227
max_mop_tc_ult_24m_open,0.06543701056109583,0.13482860649708403
num_ctas_antig_12m_open,0.16738752354479797,0.24212532734592135
num_ctas_antig_18m_open,0.15413072362871227,0.23276949811789327
num_ctas_antig_24m_open,0.14761316306170225,0.22674254064338156
suma_saldo_vencido_ban_all,0.022969749274668196,0.05774770514351082
suma_saldo_actual_ban_all,0.03297843249365619,0.1101887701754636
razon_monto_apagar_saldo_actual_ban_all,0.059754393775119485,0.14506994700863154
razon_monto_apagar_limite_credito_ban_all,0.21616277904731449,0.29120676169154164
razon_monto_apagar_saldo_vencido_ban_all,0.021554983761987636,0.341987233478512
razon_maximo_saldo_maxima_mora_maximo_credito_masalto_ban_all,0.08372257534526492,0.1779171339762269
razon_saldo_vencido_saldo_actual_ban_all,0.01864785571712661,0.05709316121612046
suma_ponderada_pagos_12m_ban_all,0.07803716621777207,0.15784152392849296
suma_ponderada_pagos_18m_ban_all,0.09453069108678196,0.17496333211273488
suma_ponderada_pagos_24m_ban_all,0.12265554041412673,0.20346365724457113
r_sumapd_sumcl_ban_all,0.02317847943514546,0.058054302302411626
r_sumcb_sumcl_ban_all,0.29994533731518075,0.37000734867409013
r_sumhhda_sumhc_ban_all,0.09116278983855594,0.18502236314717638
utilizacion_maximo_limite_ban_all,0.2439710632851034,0.32125077241675526
utilizacion_ban_all,0.29994533731518075,0.37000734867409013
max_antiguedad_cuenta_meses_ban_all,-0.2876546225371402,-0.21261628027040677
min_antiguedad_cuenta_meses_ban_all,-0.15264403261417506,-0.07332649021537946
promedio_antiguedad_cuenta_meses_ban_all,-0.29067146846491565,-0.2133845785172599
max_mop_tc_ult_12m_ban_all,0.0361023151006503,0.09973718682897564
max_mop_tc_ult_18m_ban_all,0.04888531654993358,0.11258432990845352
max_mop_tc_ult_24m_ban_all,0.045386223856129226,0.11082083919731764
num_ctas_antig_12m_ban_all,0.04115805859955793,0.117975136856051
num_ctas_antig_18m_ban_all,0.005894893842084741,0.08706386033046257
num_ctas_antig_24m_ban_all,0.018365562355539163,0.09877844408962136
n_cons6meses_all,0.16698731968940356,0.24522701106236627
n_cons9meses_all,0.17786663093432917,0.25832457402284187
n_cons12meses_all,0.18006611920047977,0.2577205557659877
